Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
596107483.0,287642024.0,308465459.0,19.38876535714286,54.867122142857134,7.818178571428571,85515269585.4,5.16801576994573,-413328246.216457,100.406389295402,44.59958342035659,35.3195829946338,1973,India
582837973.0,281308597.0,301529376.0,19.38876535714286,54.867122142857134,7.818178571428571,71463193831.0092,-2.4500881514947,-390655317.827853,100.003779266455,44.59958342035659,35.2263346566754,1972,India
569999178.0,275180236.0,294818942.0,19.38876535714286,54.867122142857134,7.818178571428571,67350988021.3932,-0.818055504398529,-391044936.57278,97.4071580152349,44.59958342035659,35.1197934323141,1971,India
557501301.0,269208897.0,288292405.0,19.38876535714286,54.867122142857134,7.818178571428571,62422483054.6667,3.6162146193294435,-378666666.666667,334.24885481537933,44.59958342035659,54.656074326897304,1970,India
545314670.0,263380464.0,281934206.0,19.38876535714286,54.867122142857134,7.818178571428571,58447995017.3333,3.6162146193294435,-361333333.333333,334.24885481537933,44.59958342035659,54.656074326897304,1969,India
533431909.0,257695427.0,275736482.0,19.38876535714286,54.867122142857134,7.818178571428571,53085455870.6667,3.6162146193294435,-340000000.0,334.24885481537933,44.59958342035659,54.656074326897304,1968,India
521987069.0,252216091.0,269770979.0,19.38876535714286,54.867122142857134,7.818178571428571,50134942204.0,3.6162146193294435,-344000000.0,334.24885481537933,44.59958342035659,54.656074326897304,1967,India
510992617.0,246951009.0,264041608.0,19.38876535714286,54.867122142857134,7.818178571428571,45865462034.2857,3.6162146193294435,-328571428.571429,334.24885481537933,44.59958342035659,54.656074326897304,1966,India
500114346.0,241740859.0,258373487.0,19.38876535714286,54.867122142857134,7.818178571428571,59554854575.8085,3.6162146193294435,-344393112.137757,334.24885481537933,44.59958342035659,54.656074326897304,1965,India
489059309.0,236446379.0,252612930.0,19.38876535714286,54.867122142857134,7.818178571428571,56480289940.9899,3.6162146193294435,-304500304.500305,334.24885481537933,44.59958342035659,54.656074326897304,1964,India
477933619.0,231120329.0,246813291.0,19.38876535714286,54.867122142857134,7.818178571428571,48421923459.1235,3.6162146193294435,-235200235.200235,334.24885481537933,44.59958342035659,54.656074326897304,1963,India
467024193.0,225898332.0,241125862.0,19.38876535714286,54.867122142857134,7.818178571428571,42161481858.0819,3.6162146193294435,-226800226.800227,334.24885481537933,44.59958342035659,54.656074326897304,1962,India
456351876.0,220791299.0,235560577.0,19.38876535714286,54.867122142857134,7.818178571428571,39232435784.0358,3.6162146193294435,-205800205.800206,334.24885481537933,44.59958342035659,54.656074326897304,1961,India
445954579.0,215819000.0,230135579.0,19.38876535714286,54.867122142857134,7.818178571428571,37029883876.1839,3.6162146193294435,-151200151.200151,334.24885481537933,44.59958342035659,54.656074326897304,1960,India
